实际净利润公告日期,实际净利润报告期,交易代码,报表类型,净利润
2018-03-24,20171231,905,合并报表,108656156.17
2018-04-20,20171231,906,合并报表,173251414.42
2018-04-20,20171231,908,合并报表,162085589.77
2018-04-28,20171231,909,合并报表,30524816.17
2018-03-10,20171231,910,合并报表,659188327.99
2018-03-21,20171231,911,合并报表,-193633993.08
2018-04-23,20171231,912,合并报表,-1487704010.42
2018-04-20,20171231,913,合并报表,82743691.24
2018-03-15,20171231,915,合并报表,243200947.33
2018-04-28,20171231,916,合并报表,377193598.3
2018-04-28,20171231,917,合并报表,-464288791.96
2018-03-24,20171231,918,合并报表,1987749618.41
2018-03-27,20171231,919,合并报表,137126464.92
2018-03-30,20171231,920,合并报表,114453599.41
2018-03-30,20171231,921,合并报表,2018112935.64
2018-03-17,20171231,922,合并报表,120502136.57
2018-04-26,20171231,923,合并报表,240979317.73
2018-04-20,20171231,925,合并报表,60210499.93
2018-04-14,20171231,926,合并报表,845355416.04
2018-03-31,20171231,927,合并报表,-1640535397.42
2018-03-30,20171231,928,合并报表,417758871.03
2018-04-11,20171231,929,合并报表,16235994.95
2018-03-27,20171231,930,合并报表,237307176.98
2018-04-21,20171231,931,合并报表,14261579.23
2018-02-13,20171231,932,合并报表,4120919497.41
2018-04-28,20171231,933,合并报表,368090226.91
2018-04-10,20171231,935,合并报表,203665683.0
2018-03-30,20171231,936,合并报表,195399625.87
2018-04-18,20171231,937,合并报表,1064340651.5
2018-04-26,20171231,938,合并报表,1575421203.61
2018-06-29,20171231,939,合并报表,-2380512584.58
2018-03-21,20171231,948,合并报表,21984499.53
2018-03-29,20171231,949,合并报表,30273444.38
2018-04-20,20171231,950,合并报表,1106266191.36
2018-03-24,20171231,951,合并报表,897580680.29
2018-03-16,20171231,952,合并报表,105211595.89
2018-02-28,20171231,953,合并报表,29462410.92
2018-04-26,20171231,955,合并报表,45440388.52
2018-04-24,20171231,957,合并报表,191211732.59
2018-03-31,20171231,958,合并报表,67699555.06
2018-03-30,20171231,959,合并报表,2210651071.39
2018-04-26,20171231,960,合并报表,706026278.73
2018-04-27,20171231,961,合并报表,602661579.89
2018-04-17,20171231,962,合并报表,-380023225.05
2018-03-30,20171231,963,合并报表,1779506061.59
2018-03-22,20171231,965,合并报表,410859621.67
2018-04-13,20171231,966,合并报表,-121559660.65
2018-04-23,20171231,967,合并报表,352656553.59
2018-04-26,20171231,968,合并报表,489404571.49
2018-03-31,20171231,969,合并报表,59169689.4
2018-03-30,20171231,970,合并报表,282259318.69
2018-03-24,20171231,971,合并报表,156360393.82
2018-03-23,20171231,972,合并报表,26583871.8
2018-03-24,20171231,973,合并报表,105683308.72
2018-04-27,20171231,975,合并报表,325273623.6
2018-04-25,20171231,976,合并报表,493989757.77
2018-03-28,20171231,977,合并报表,427530774.37
2018-03-31,20171231,978,合并报表,52941654.62
2018-04-28,20171231,979,合并报表,-2511228018.95
2018-04-18,20171231,980,合并报表,1256411169.33
2018-04-04,20171231,981,合并报表,1601293305.03
2018-04-28,20171231,982,合并报表,47962203.76
